node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude;coord_x;coord_y;scenario;exclude_scenario
Pa_E_SIL_81;Part. Est. Silandro 81;merano;36,981;68,464;signal_mainline;0;0;0;737,66;10,764137;46,620114;base;
km68500;km68500;;37,017;68,5;km;0;0;0;738,25;10,763761;46,620306;base;
km68650;km68650;;37,167;68,65;km;0;0;0;740,72;10,762879;46,621444;base;
IG_GEO;Imbocco Galleria GEOS;;37,379;68,862;Tunnel;0;0;0;744,22;10,763758;46,623067;base;
Pr_I_SIL_71;Prot. Int. N1 Silandro 71;malles;37,473;68,956;signal_mainline;0;0;0;744,73;10,764539;46,623861;base;
SG_GEO;Sbocco Galleria GEOS;;37,521;69,004;Tunnel;0;0;0;744,92;10,764904;46,624213;base;
Dev_SIL_05;Deviatoio Silandro 05;;37,572;69,055;SC;0;0;0;745;10,765301;46,624578;base;
Pa_I_SIL_31;Part. Int Silandro 31;merano;37,682;69,165;signal_mainline;0;0;0;745;10,766245;46,625366;base;
SIL;Silandro;;37,792;69,275;LdS;1;1;0;745;10,767066;46,626154;base;
Pa_I_SIL_32;Part. Int. Silandro 32;malles;37,86;69,343;signal_mainline;0;0;0;745;10,767556;46,626648;base;
Dev_SIL_02;Deviatoio Silandro 02;;37,939;69,422;SC;0;0;0;745;10,768211;46,627248;base;
Pr_I_SIL_52;Prot. Int. Silandro 52;merano;37,989;69,472;signal_mainline;0;0;0;745;10,768565;46,627602;base;
Pa_E_SIL_62;Part. Est. Silandro 62;malles;38,129;69,612;signal_mainline;0;0;0;747,34;10,769476;46,628664;base;
Pr_E_SIL_02;Prot. Est. Silandro 02;merano;38,279;69,762;signal_mainline;0;0;0;751,38;10,769314;46,629975;base;
km70200;km70200;;38,717;70,2;km;0;0;0;763,18;10,764652;46,63004;base;
HD_601_02;HD 601/02;both;39,279;70,762;signal_mainline;0;0;0;778,31;10,760144;46,626055;base;
HD_601_04;HD 601/04;both;40,279;71,762;signal_mainline;0;0;0;805,24;10,750401;46,620101;base;
HD_601_06;HD 601/06;both;41,279;72,762;signal_mainline;0;0;0;832,17;10,739552;46,615395;base;
HD_601_08;HD 601/08;both;42,279;73,762;signal_mainline;0;0;0;859,1;10,727233;46,612743;base;
HD_601_10;HD 601/10;both;43,279;74,762;signal_mainline;0;0;0;865,71;10,714608;46,6119;base;
km75800;km75800;;44,317;75,8;km;0;0;0;866,64;10,702448;46,615444;base;
