"Data";"Template";"Treno";"OraP";"OraA";"Partenza";"Rit.";"Causale";"Nota partenza";"Arrivo";"Rit.";"Causale";"Nota arrivo";"Composizione";"Coincidenza";"Esito";"Causale soppressione";"Nota soppressione";"Verifica";"Chiusura"
"2023-01-02";"23-int";"7024";"2023-01-02 16:20:00";"2023-01-02 17:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7023";"2023-01-02 16:35:00";"2023-01-02 17:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7050";"2023-01-02 17:03:00";"2023-01-02 17:57:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7026";"2023-01-02 17:20:00";"2023-01-02 18:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7025";"2023-01-02 17:31:00";"2023-01-02 18:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7051";"2023-01-02 18:02:00";"2023-01-02 18:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7028";"2023-01-02 18:20:00";"2023-01-02 19:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7027";"2023-01-02 18:35:00";"2023-01-02 19:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7052";"2023-01-02 19:03:00";"2023-01-02 19:57:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7030";"2023-01-02 19:20:00";"2023-01-02 20:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7029";"2023-01-02 19:31:00";"2023-01-02 20:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7031";"2023-01-02 20:00:00";"2023-01-02 20:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7032";"2023-01-02 20:20:00";"2023-01-02 21:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7033";"2023-01-02 21:00:00";"2023-01-02 21:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7034";"2023-01-02 21:20:00";"2023-01-02 22:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7035";"2023-01-02 22:00:00";"2023-01-02 22:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-02";"23-int";"7037";"2023-01-02 23:00:00";"2023-01-02 23:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7000";"2023-01-03 05:18:00";"2023-01-03 06:12:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7002";"2023-01-03 05:40:00";"2023-01-03 06:37:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7001";"2023-01-03 05:48:00";"2023-01-03 06:53:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7004";"2023-01-03 06:16:00";"2023-01-03 07:16:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7003";"2023-01-03 06:52:00";"2023-01-03 07:54:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7040";"2023-01-03 07:01:00";"2023-01-03 07:57:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7006";"2023-01-03 07:20:00";"2023-01-03 08:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7005";"2023-01-03 07:31:00";"2023-01-03 08:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7041";"2023-01-03 08:02:00";"2023-01-03 08:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7008";"2023-01-03 08:20:00";"2023-01-03 09:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7007";"2023-01-03 08:35:00";"2023-01-03 09:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7042";"2023-01-03 09:03:00";"2023-01-03 09:57:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7010";"2023-01-03 09:20:00";"2023-01-03 10:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7009";"2023-01-03 09:31:00";"2023-01-03 10:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7043";"2023-01-03 10:02:00";"2023-01-03 10:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7012";"2023-01-03 10:20:00";"2023-01-03 11:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7011";"2023-01-03 10:35:00";"2023-01-03 11:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"4";"Personale (IF)";"+4 SPO (x)7014";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7044";"2023-01-03 11:03:00";"2023-01-03 11:57:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7014";"2023-01-03 11:20:00";"2023-01-03 12:25:00";"Malles - Mals";"5";"Personale (IF)";"+5 NECESSITà FISIOLOGICHE PdM ATTO PARTENZA";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7013";"2023-01-03 11:31:00";"2023-01-03 12:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7045";"2023-01-03 12:02:00";"2023-01-03 12:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7016";"2023-01-03 12:20:00";"2023-01-03 13:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7015";"2023-01-03 12:35:00";"2023-01-03 13:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7046";"2023-01-03 13:03:00";"2023-01-03 13:57:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7018";"2023-01-03 13:20:00";"2023-01-03 14:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7017";"2023-01-03 13:31:00";"2023-01-03 14:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7047";"2023-01-03 14:02:00";"2023-01-03 14:55:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7020";"2023-01-03 14:20:00";"2023-01-03 15:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7019";"2023-01-03 14:35:00";"2023-01-03 15:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Singola";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7048";"2023-01-03 15:03:00";"2023-01-03 15:57:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7022";"2023-01-03 15:20:00";"2023-01-03 16:25:00";"Malles - Mals";"";"";"";"Meran/o (Var.)";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
"2023-01-03";"23-int";"7021";"2023-01-03 15:31:00";"2023-01-03 16:38:00";"Meran/o (Var.)";"";"";"";"Malles - Mals";"";"";"";"Doppia";"NP";"";"";"";"OK";"OK"
