"Data";"Template";"Treno";"OraP";"OraA";"Partenza";"Rit.";"Causale";"Nota partenza";"Arrivo";"Rit.";"Causale";"Nota arrivo";"Composizione";"Coincidenza";"Esito";"Causale soppressione";"Nota soppressione";"Verifica";"Chiusura"
"2019-01-02";"19-I";"114";"2019-01-02 11:20:00";"2019-01-02 12:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"209";"2019-01-02 11:46:00";"2019-01-02 12:55:00";"Meran/o";"2";"Coincidenze programmate";"+2 AUMENTATO RITARDO TRENO (c) IN ARRIVO DA BZ";"Malles - Mals";"";"";"";"Singola";"NO";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"115";"2019-01-02 12:16:00";"2019-01-02 13:38:00";"Meran/o";"2";"Coincidenze programmate";"";"Malles - Mals";"";"Guasto veicoli viaggiatori";"+2 CAS acc. ATR 5";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"116";"2019-01-02 12:20:00";"2019-01-02 13:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"Ritardo incrociante";"+4 LAC (x) 115";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"214";"2019-01-02 13:03:00";"2019-01-02 14:13:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"117";"2019-01-02 13:16:00";"2019-01-02 14:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"118";"2019-01-02 13:20:00";"2019-01-02 14:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"213";"2019-01-02 13:46:00";"2019-01-02 14:55:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"119";"2019-01-02 14:16:00";"2019-01-02 15:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"120";"2019-01-02 14:20:00";"2019-01-02 15:43:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Doppia";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"218";"2019-01-02 15:03:00";"2019-01-02 16:13:00";"Malles - Mals";"";"";"";"Meran/o";"";"";"";"Singola";"SI";"";"";"";"OK";"OK"
"2019-01-02";"19-I";"121";"2019-01-02 15:16:00";"2019-01-02 16:38:00";"Meran/o";"";"";"";"Malles - Mals";"";"";"";"Singola (Var.)";"NP";"";"";"";"OK";"OK"
